"Name_val","Name_@footnote","Cost_Quantity_AllPriorYears_val","Cost_Quantity_Total_val","Cost_Quantity_PriorYear_val","Cost_Quantity_CurrentYear_val","Cost_Quantity_BudgetYearOneBase_val","Cost_Quantity_BudgetYearOne_val","Cost_Quantity_BudgetYearOneOCO_val","Cost_TotalCost_AllPriorYears_val","Cost_TotalCost_ToComplete_val","Cost_TotalCost_Total_val","Cost_TotalCost_PriorYear_val","Cost_TotalCost_CurrentYear_val","Cost_TotalCost_BudgetYearOneBase_val","Cost_TotalCost_BudgetYearOne_val","Cost_TotalCost_BudgetYearOneOCO_val","Cost_UnitCost_AllPriorYears_val","Cost_UnitCost_Total_val","Cost_UnitCost_PriorYear_val","Cost_UnitCost_CurrentYear_val","Cost_UnitCost_BudgetYearOneBase_val","Cost_UnitCost_BudgetYearOne_val","Cost_UnitCost_BudgetYearOneOCO_val","Cost_AllPriorYears_UnitCost_val","Cost_AllPriorYears_Quantity_val","Cost_AllPriorYears_TotalCost_val","Cost_PriorYear_UnitCost_val","Cost_PriorYear_Quantity_val","Cost_PriorYear_TotalCost_val","Cost_CurrentYear_UnitCost_val","Cost_CurrentYear_Quantity_val","Cost_CurrentYear_TotalCost_val","Cost_BudgetYearOneBase_UnitCost_val","Cost_BudgetYearOneBase_Quantity_val","Cost_BudgetYearOneBase_TotalCost_val","Cost_BudgetYearOne_UnitCost_val","Cost_BudgetYearOne_Quantity_val","Cost_BudgetYearOne_TotalCost_val","Cost_ToComplete_UnitCost_val","Cost_ToComplete_Quantity_val","Cost_ToComplete_TotalCost_val","Cost_Total_UnitCost_val","Cost_Total_Quantity_val","Cost_Total_TotalCost_val","Cost_BudgetYearOneOCO_TotalCost_val","AllPriorYearsDeliveries_val","ManufacturerList_Manufacturer","IdCode_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"(PITI) Software","","1","","1","1","","","","2.941","","","5.36","6.041","","","","2941","","5360","6041","","","","","","","","","","","","","","","","","","","","","","","","","","1","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement.ManufacturerList-0204da979f3fe83eede49dd470a5931a074cade4-1-f85d3d0d7b04fc6c3b40ef42a7242c8138187da5","","0204da979f3fe83eede49dd470a5931a074cade4-1-accbb74c572b46bcc73eabe5c292cb5162e78143","0204da979f3fe83eede49dd470a5931a074cade4","root.record.ItemExhibitList.P5Item","0204da979f3fe83eede49dd470a5931a074cade4-3-fbb76e08d8e6dc8929a452e68f036afa5cf68ec2"
"(LAAWS) Software","","","","","1","","","","","","","","0.761","","","","","","","761","","","","","","","","","","","","","","","","","","","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement.ManufacturerList-0204da979f3fe83eede49dd470a5931a074cade4-2-edc1661612e2b940a08a5a6faad0dd364f3891bc","","0204da979f3fe83eede49dd470a5931a074cade4-2-7ec92349e17e815dd474464b8bfc3219a8f2d860","0204da979f3fe83eede49dd470a5931a074cade4","root.record.ItemExhibitList.P5Item","0204da979f3fe83eede49dd470a5931a074cade4-3-fbb76e08d8e6dc8929a452e68f036afa5cf68ec2"
"(ACI) Army-wide Software","","1","","","","","","","42.374","","","","","","","","42374","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0204da979f3fe83eede49dd470a5931a074cade4-0-17854990f84c156667a1c15eb8a147f38743058d","0204da979f3fe83eede49dd470a5931a074cade4","root.record.ItemExhibitList.P5Item","0204da979f3fe83eede49dd470a5931a074cade4-4-d8c43b3407dbba2f7c0e1aa7cd0b2dfb321aac42"
"(BLSCE) Software","","1","","","","","","","0.523","","","","","","","","523","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0204da979f3fe83eede49dd470a5931a074cade4-1-dd908f167524ae077ec6e09b0924d477d267e168","0204da979f3fe83eede49dd470a5931a074cade4","root.record.ItemExhibitList.P5Item","0204da979f3fe83eede49dd470a5931a074cade4-4-d8c43b3407dbba2f7c0e1aa7cd0b2dfb321aac42"
"(TIABCSTB) Software","","","","","1","","","","","","","","0.451","","","","","","","451","","","","","","","","","","","","","","","","","","","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement.ManufacturerList-0204da979f3fe83eede49dd470a5931a074cade4-2-949006db02332fb5df52597d751fac9c5dae5db1","","0204da979f3fe83eede49dd470a5931a074cade4-2-93083ff6addd16140999d3e2a8f0e0eefa924ed8","0204da979f3fe83eede49dd470a5931a074cade4","root.record.ItemExhibitList.P5Item","0204da979f3fe83eede49dd470a5931a074cade4-4-d8c43b3407dbba2f7c0e1aa7cd0b2dfb321aac42"
"(ATIA) Software","","1","","1","1","1","1","","0.119","","","0.048","0.155","0.151","0.151","","119","","48","155","151","151","","","","","","","","","","","","","","","","","","","","","","","","1","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement.ManufacturerList-0204da979f3fe83eede49dd470a5931a074cade4-3-c6a4ef72648a3d65987c8a0db5b56147bb8a5509","","0204da979f3fe83eede49dd470a5931a074cade4-3-bdd415e4dd9797bfe62712ca170538625c10d0d8","0204da979f3fe83eede49dd470a5931a074cade4","root.record.ItemExhibitList.P5Item","0204da979f3fe83eede49dd470a5931a074cade4-4-d8c43b3407dbba2f7c0e1aa7cd0b2dfb321aac42"
"(SPS) Software","","1","","","","","","","0.804","","","","","","","","804","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0204da979f3fe83eede49dd470a5931a074cade4-4-d72416c2393038b7700a1cc1164133675f020ff7","0204da979f3fe83eede49dd470a5931a074cade4","root.record.ItemExhibitList.P5Item","0204da979f3fe83eede49dd470a5931a074cade4-4-d8c43b3407dbba2f7c0e1aa7cd0b2dfb321aac42"
"(AcqBiz) Software","","1","","","","","","","0.71","","","","","","","","710","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0204da979f3fe83eede49dd470a5931a074cade4-5-c07d876008fe8b1c90124308a7f5d0e07a590089","0204da979f3fe83eede49dd470a5931a074cade4","root.record.ItemExhibitList.P5Item","0204da979f3fe83eede49dd470a5931a074cade4-4-d8c43b3407dbba2f7c0e1aa7cd0b2dfb321aac42"
"(ISM) Software","","1","","","","","","","0.835","","","","","","","","835","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0204da979f3fe83eede49dd470a5931a074cade4-6-98bf38e3edff28b7aec1f79d3b75d270ca9e7497","0204da979f3fe83eede49dd470a5931a074cade4","root.record.ItemExhibitList.P5Item","0204da979f3fe83eede49dd470a5931a074cade4-4-d8c43b3407dbba2f7c0e1aa7cd0b2dfb321aac42"
"(KT) Software","","1","","","","","","","17.049","","","","","","","","17049","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0204da979f3fe83eede49dd470a5931a074cade4-7-926b9ba563b0c63d2c54becbb854d8671c350bc0","0204da979f3fe83eede49dd470a5931a074cade4","root.record.ItemExhibitList.P5Item","0204da979f3fe83eede49dd470a5931a074cade4-4-d8c43b3407dbba2f7c0e1aa7cd0b2dfb321aac42"
"(TJAGLCS Infrastructure) Software","","","","","","1","1","","","","","","","0.35","0.35","","","","","","350","350","","","","","","","","","","","","","","","","","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement.ManufacturerList-0204da979f3fe83eede49dd470a5931a074cade4-8-ae19dd98488abf0b5d20d17d30a5771e9d75dcb9","","0204da979f3fe83eede49dd470a5931a074cade4-8-57bfb57b244af62df7adc9505584700004bff9dd","0204da979f3fe83eede49dd470a5931a074cade4","root.record.ItemExhibitList.P5Item","0204da979f3fe83eede49dd470a5931a074cade4-4-d8c43b3407dbba2f7c0e1aa7cd0b2dfb321aac42"
"(ACCHR) Software","","1","","1","1","","","","2.011","","","0.43","1.138","","","","2011","","430","1138","","","","","","","","","","","","","","","","","","","","","","","","","","1","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement.ManufacturerList-0204da979f3fe83eede49dd470a5931a074cade4-0-17e01caf5893b406326f0600709b9eb4dd186f69","","0204da979f3fe83eede49dd470a5931a074cade4-0-8ab02df76e2d382d690ead24260b9091c9410c0e","0204da979f3fe83eede49dd470a5931a074cade4","root.record.ItemExhibitList.P5Item","0204da979f3fe83eede49dd470a5931a074cade4-5-c0bd70c367ce700674a24c3d07ee50f91b848be3"
"1.1.1) Training Aids, Devices, Simulators and Simulations","","","","","","","","","","","","","0.77","0.829","0.829","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","caeed17ea20f78445665507de632d7a5e5b0e3f8-0-3b116cd93bdddc2af5f3470b707d56fe8ed11fe9","caeed17ea20f78445665507de632d7a5e5b0e3f8","root.record.ItemExhibitList.P5Item","caeed17ea20f78445665507de632d7a5e5b0e3f8-0-e18e11315bc5b5c7d1ac97f861d8b76218a4b774"
"2.1 S2E2 Software","","3","4","1","","","","","26.151","0","27.351","1.2","","","","","8.717","6.838","1.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","e3d53d97cec66addc4f897ee3511a15a96f890f4-0-c7ede33e184d3b8225d30b3212ca00a26a9a3787","e3d53d97cec66addc4f897ee3511a15a96f890f4","root.record.ItemExhibitList.P5Item","e3d53d97cec66addc4f897ee3511a15a96f890f4-1-a135021c9abf144be5f137b82a7f54d71261ad93"
"Computing Environment Instantiations","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","","","0.000","10319","1","10.319","10319","1","10.319","","","","","","","0.000","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement.ManufacturerList-3db90f5a9d74a859d0737c60f14fdb161ea5f5cc-0-21d9c00878fe881a322c47592558fc205c418acf","","3db90f5a9d74a859d0737c60f14fdb161ea5f5cc-0-c00f60e0ddd1316bd1e10aa31e96807feb03a1c2","3db90f5a9d74a859d0737c60f14fdb161ea5f5cc","root.record.ItemExhibitList.P5Item","3db90f5a9d74a859d0737c60f14fdb161ea5f5cc-0-dad82008fd60aea491ba2755a9f47abeb6a12a73"
"Emerging Logistics Technologies","","","","","","","","","","","","","","","","","","","","","","","","","","","2003","1","2.003","2041","1","2.041","1125","1","1.125","1125","1","1.125","","","","","","","0.000","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement.ManufacturerList-3db90f5a9d74a859d0737c60f14fdb161ea5f5cc-0-56b8004bed6eed3cb5bf14280234c837e25a6dab","","3db90f5a9d74a859d0737c60f14fdb161ea5f5cc-0-aac06bc8e6e5e785c090c22cf0bc1b2a85986216","3db90f5a9d74a859d0737c60f14fdb161ea5f5cc","root.record.ItemExhibitList.P5Item","3db90f5a9d74a859d0737c60f14fdb161ea5f5cc-2-2ddcd95d6ae6806ba1d7ee76432161ac7d38eb2d"
"(HQDA ADPE) Software","","","","","","","","","","","","","","","","","","","","","","","","","","","435","1","0.435","990","1","0.99","616","1","0.616","616","1","0.616","","","","","","","0.000","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement.ManufacturerList-3db90f5a9d74a859d0737c60f14fdb161ea5f5cc-0-e7d9db672e1d363969c4038e3377528d2fdc7b55","","3db90f5a9d74a859d0737c60f14fdb161ea5f5cc-0-8a00218e5e86ebc534d367457cd09643f3346fad","3db90f5a9d74a859d0737c60f14fdb161ea5f5cc","root.record.ItemExhibitList.P5Item","3db90f5a9d74a859d0737c60f14fdb161ea5f5cc-5-7ae4dc16f770f87252108fae4928c45ad168ab1f"
"(PITI) Software","","","","","","","","","","","","","","","","","","","","","","","","","","","2661","1","2.661","1584","1","1.584","3066","1","3.066","3066","1","3.066","","","","","","","0.000","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement.ManufacturerList-3db90f5a9d74a859d0737c60f14fdb161ea5f5cc-1-e339ac9db821726b09d2a760ff4bbc38e1c34c25","","3db90f5a9d74a859d0737c60f14fdb161ea5f5cc-1-2920fec85f2de1aee8518c1ff5f8e84234d78480","3db90f5a9d74a859d0737c60f14fdb161ea5f5cc","root.record.ItemExhibitList.P5Item","3db90f5a9d74a859d0737c60f14fdb161ea5f5cc-5-7ae4dc16f770f87252108fae4928c45ad168ab1f"
"(LAAWS) Software","","","","","","","","","","","","","","","","","","","","","","","","","","","1507","1","1.507","703","1","0.703","609","1","0.609","609","1","0.609","","","","","","","0.000","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement.ManufacturerList-3db90f5a9d74a859d0737c60f14fdb161ea5f5cc-2-987a01b0abf96a4c9a02eef7185e1759fd440d2b","","3db90f5a9d74a859d0737c60f14fdb161ea5f5cc-2-3bef0286130d9e8c0f4baec9bded59af567f6838","3db90f5a9d74a859d0737c60f14fdb161ea5f5cc","root.record.ItemExhibitList.P5Item","3db90f5a9d74a859d0737c60f14fdb161ea5f5cc-5-7ae4dc16f770f87252108fae4928c45ad168ab1f"
"(ACI) Army-wide Software","","","","","","","","","","","","","","","","","","","","","","","","","","","24318","1","24.318","4200","1","4.2","300","1","0.3","300","1","0.3","","","","","","","0.000","","","","3db90f5a9d74a859d0737c60f14fdb161ea5f5cc-0-2aacd267cad24ea2fca2fc0c0ca614d1db12eaa5","3db90f5a9d74a859d0737c60f14fdb161ea5f5cc","root.record.ItemExhibitList.P5Item","3db90f5a9d74a859d0737c60f14fdb161ea5f5cc-6-dd3b031e6cb92ebd7ffe55bd2c82c56cb822a106"
"(ISM) Software","","","","","","","","","","","","","","","","","","","","","","","","","","","554","1","0.554","430","1","0.43","","","0.000","","","0.000","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement.ManufacturerList-3db90f5a9d74a859d0737c60f14fdb161ea5f5cc-1-9d857c402f8aa1942602741a5d90b160963eb430","","3db90f5a9d74a859d0737c60f14fdb161ea5f5cc-1-a1fd12df184784d873daed7e519a0e542ba2318d","3db90f5a9d74a859d0737c60f14fdb161ea5f5cc","root.record.ItemExhibitList.P5Item","3db90f5a9d74a859d0737c60f14fdb161ea5f5cc-6-dd3b031e6cb92ebd7ffe55bd2c82c56cb822a106"
"(ACDEP) Software","","","","","","","","","","","","","","","","","","","","","","","","","","","309","1","0.309","214","1","0.214","","","0.000","","","0.000","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement.ManufacturerList-3db90f5a9d74a859d0737c60f14fdb161ea5f5cc-2-be189b432cc7b6c16533a63579149b4c12f5c601","","3db90f5a9d74a859d0737c60f14fdb161ea5f5cc-2-3d5a9f275fac638a6d44f0689e8ddc24561d771d","3db90f5a9d74a859d0737c60f14fdb161ea5f5cc","root.record.ItemExhibitList.P5Item","3db90f5a9d74a859d0737c60f14fdb161ea5f5cc-6-dd3b031e6cb92ebd7ffe55bd2c82c56cb822a106"
"(TIABCSTB) Software","","","","","","","","","","","","","","","","","","","","","","","","","","","53","1","0.053","","","0.000","209","1","0.209","209","1","0.209","","","","","","","0.000","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement.ManufacturerList-3db90f5a9d74a859d0737c60f14fdb161ea5f5cc-3-b613661229ba422e945c29f99a6e6797348d9c0e","","3db90f5a9d74a859d0737c60f14fdb161ea5f5cc-3-f91a2d7147bc8ca2ec025fc6c266201d4ab923f0","3db90f5a9d74a859d0737c60f14fdb161ea5f5cc","root.record.ItemExhibitList.P5Item","3db90f5a9d74a859d0737c60f14fdb161ea5f5cc-6-dd3b031e6cb92ebd7ffe55bd2c82c56cb822a106"
"(ATIA) Software","","","","","","","","","","","","","","","","","","","","","","","","","","","90","1","0.09","27","1","0.027","25","1","0.025","25","1","0.025","","","","","","","0.000","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement.ManufacturerList-3db90f5a9d74a859d0737c60f14fdb161ea5f5cc-4-97840fc21b183aee4d2b64c141c0d53b307c3a74","","3db90f5a9d74a859d0737c60f14fdb161ea5f5cc-4-e7adb35ef693e085c82e9c0f7b33bdc69b982d34","3db90f5a9d74a859d0737c60f14fdb161ea5f5cc","root.record.ItemExhibitList.P5Item","3db90f5a9d74a859d0737c60f14fdb161ea5f5cc-6-dd3b031e6cb92ebd7ffe55bd2c82c56cb822a106"
"(AKO) Software","","","","","","","","","","","","","","","","","","","","","","","","","","","1857","1","1.857","2114","1","2.114","","","0.000","","","0.000","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement.ManufacturerList-3db90f5a9d74a859d0737c60f14fdb161ea5f5cc-5-f8bfdd8b71fe41e1271ba6e1c368d533bc3779f6","","3db90f5a9d74a859d0737c60f14fdb161ea5f5cc-5-9a9ffffb658fb653b6dc38101b62e3e92a55598b","3db90f5a9d74a859d0737c60f14fdb161ea5f5cc","root.record.ItemExhibitList.P5Item","3db90f5a9d74a859d0737c60f14fdb161ea5f5cc-6-dd3b031e6cb92ebd7ffe55bd2c82c56cb822a106"
"- OCO AKO Foward Software","","","","","","","","","","","","","","","","","","","","","","","","","","","300","1","0.3","","","0.000","","","0.000","","","0.000","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement.ManufacturerList-3db90f5a9d74a859d0737c60f14fdb161ea5f5cc-6-8242dea3a78fa08377d1faaf68ea3d5d800847ff","","3db90f5a9d74a859d0737c60f14fdb161ea5f5cc-6-79355d955fa1cdab9c70270df718dcca07763f69","3db90f5a9d74a859d0737c60f14fdb161ea5f5cc","root.record.ItemExhibitList.P5Item","3db90f5a9d74a859d0737c60f14fdb161ea5f5cc-6-dd3b031e6cb92ebd7ffe55bd2c82c56cb822a106"
"(SPS) Software","","","","","","","","","","","","","","","","","","","","","","","","","","","804","1","0.804","404","1","0.404","259","1","0.259","259","1","0.259","","","","","","","0.000","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement.ManufacturerList-3db90f5a9d74a859d0737c60f14fdb161ea5f5cc-7-019ac6af0f4676d6f27c9fdd4f43b6797c97e681","","3db90f5a9d74a859d0737c60f14fdb161ea5f5cc-7-62eaa85c774bcca3d0de017fe9c365fc5e825f1d","3db90f5a9d74a859d0737c60f14fdb161ea5f5cc","root.record.ItemExhibitList.P5Item","3db90f5a9d74a859d0737c60f14fdb161ea5f5cc-6-dd3b031e6cb92ebd7ffe55bd2c82c56cb822a106"
"(AcqBiz) Software","","","","","","","","","","","","","","","","","","","","","","","","","","","580","1","0.58","134","1","0.134","95","1","0.095","95","1","0.095","","","","","","","0.000","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement.ManufacturerList-3db90f5a9d74a859d0737c60f14fdb161ea5f5cc-8-531d67d3082d1b7d09346de61c058f948e08ccae","","3db90f5a9d74a859d0737c60f14fdb161ea5f5cc-8-64d17b8481c9848b0124c9a325e75b8ae2c171ad","3db90f5a9d74a859d0737c60f14fdb161ea5f5cc","root.record.ItemExhibitList.P5Item","3db90f5a9d74a859d0737c60f14fdb161ea5f5cc-6-dd3b031e6cb92ebd7ffe55bd2c82c56cb822a106"
"(KT) Software","","","","","","","","","","","","","","","","","","","","","","","","","","","14701","1","14.701","3065","1","3.065","","","0.000","","","0.000","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement.ManufacturerList-3db90f5a9d74a859d0737c60f14fdb161ea5f5cc-9-bf4728547e0005d6287e394c6b11a0476faa0536","","3db90f5a9d74a859d0737c60f14fdb161ea5f5cc-9-b2cd597e4e68e7a6d22c1d5b9e03a44f6fe40203","3db90f5a9d74a859d0737c60f14fdb161ea5f5cc","root.record.ItemExhibitList.P5Item","3db90f5a9d74a859d0737c60f14fdb161ea5f5cc-6-dd3b031e6cb92ebd7ffe55bd2c82c56cb822a106"
"(DRSN) Software","","","","","","","","","","","","","","","","","","","","","","","","","","","772","1","0.772","702","1","0.702","","","0.000","","","0.000","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement.ManufacturerList-3db90f5a9d74a859d0737c60f14fdb161ea5f5cc-10-114b927f52acb7fb735e8993846ee9c6a82b488b","","3db90f5a9d74a859d0737c60f14fdb161ea5f5cc-10-23f3a38714af82157dd8dc4862f76e873c94bbc1","3db90f5a9d74a859d0737c60f14fdb161ea5f5cc","root.record.ItemExhibitList.P5Item","3db90f5a9d74a859d0737c60f14fdb161ea5f5cc-6-dd3b031e6cb92ebd7ffe55bd2c82c56cb822a106"
"(IPC)  Software","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","","","0.000","1294","1","1.294","1294","1","1.294","","","","","","","0.000","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement.ManufacturerList-3db90f5a9d74a859d0737c60f14fdb161ea5f5cc-11-baaf679a02374618a35e8e12ab28911d3f7ccfd0","","3db90f5a9d74a859d0737c60f14fdb161ea5f5cc-11-826dc66e6ee7810d77c1aeba8803a62954cb0152","3db90f5a9d74a859d0737c60f14fdb161ea5f5cc","root.record.ItemExhibitList.P5Item","3db90f5a9d74a859d0737c60f14fdb161ea5f5cc-6-dd3b031e6cb92ebd7ffe55bd2c82c56cb822a106"
"(VTC) Software","","","","","","","","","","","","","","","","","","","","","","","","","","","260","1","0.26","","","0.000","","","0.000","","","0.000","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement.ManufacturerList-3db90f5a9d74a859d0737c60f14fdb161ea5f5cc-12-1382e71e5d97f1db2081a3436fb7edcbc0ef6b0b","","3db90f5a9d74a859d0737c60f14fdb161ea5f5cc-12-761f8bc794b8c89abef2da5e79402cca7c116325","3db90f5a9d74a859d0737c60f14fdb161ea5f5cc","root.record.ItemExhibitList.P5Item","3db90f5a9d74a859d0737c60f14fdb161ea5f5cc-6-dd3b031e6cb92ebd7ffe55bd2c82c56cb822a106"
"(USMIRS)  Software","","","","","","","","","","","","","","","","","","","","","","","","","","","11190","1","11.19","2114","1","2.114","","","0.000","","","0.000","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement.ManufacturerList-3db90f5a9d74a859d0737c60f14fdb161ea5f5cc-0-e395dc7cd398cc72f13282e8932949e658e74ea8","","3db90f5a9d74a859d0737c60f14fdb161ea5f5cc-0-81c142ee5a792136aa9171ce6ad98b67019998fa","3db90f5a9d74a859d0737c60f14fdb161ea5f5cc","root.record.ItemExhibitList.P5Item","3db90f5a9d74a859d0737c60f14fdb161ea5f5cc-7-6df619a0b74bfee61cb91dcab23885e67dc46cd1"
"Resources (ACCHR) Software","","","","","","","","","","","","","","","","","","","","","","","","","","","1567","1","1.567","","","0.000","558","1","0.558","558","1","0.558","","","","","","","0.000","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement.ManufacturerList-3db90f5a9d74a859d0737c60f14fdb161ea5f5cc-1-2dcf8d01a7e409ff45857c2f018452bc129a32ba","","3db90f5a9d74a859d0737c60f14fdb161ea5f5cc-1-55944303ab750e72c0a21ed29279aaf6d4179487","3db90f5a9d74a859d0737c60f14fdb161ea5f5cc","root.record.ItemExhibitList.P5Item","3db90f5a9d74a859d0737c60f14fdb161ea5f5cc-7-6df619a0b74bfee61cb91dcab23885e67dc46cd1"
"2.1 S2E2 Software Non-Recurring","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","6.3","1","6.3","14.35","1","14.35","9.4","1","9.4","9.4","1","9.4","","","","","","","0.000","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement.ManufacturerList-c7f44f432c7c0c9be3e9a45d47ce17c1fb47d584-0-e7f244598a8791e52fbf05de890cac31cb3d69f0","A","c7f44f432c7c0c9be3e9a45d47ce17c1fb47d584-0-89710e6a45f061b88941581ddc0a7ca3c6ba33be","c7f44f432c7c0c9be3e9a45d47ce17c1fb47d584","root.record.ItemExhibitList.P5Item","c7f44f432c7c0c9be3e9a45d47ce17c1fb47d584-2-2470e70cb659ce421d4fb85508304b96b3aac3e0"
"3.1 SBIRS UHF Radio Upgrade Software Maint Facility Upgrade","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","4.685","1","4.685","","","0.000","","","0.000","","","0.000","","","","","","","0.000","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement.ManufacturerList-c7f44f432c7c0c9be3e9a45d47ce17c1fb47d584-0-fe502b5027575a51d44383e1388d24c0dc40347e","A","c7f44f432c7c0c9be3e9a45d47ce17c1fb47d584-0-48bb8111b15f50db66abfaac9c17893868f92da3","c7f44f432c7c0c9be3e9a45d47ce17c1fb47d584","root.record.ItemExhibitList.P5Item","c7f44f432c7c0c9be3e9a45d47ce17c1fb47d584-3-df00f672955059840d0ebbbfad9b4eb1e1692ce2"
